time,TP9,AF7,AF8,TP10,Right AUX
1694476229.19812,238.76953125,265.13671875,-356.93359375,242.67578125,0.0
1694476229.2020183,-1000.0,-1000.0,-875.9765625,-1000.0,0.0
1694476229.2059166,-335.9375,-539.55078125,-735.3515625,-527.34375,0.0
1694476229.209815,-835.9375,-943.359375,-219.7265625,-937.98828125,0.0
1694476229.2137132,514.6484375,647.94921875,-229.98046875,671.875,0.0
1694476229.2176116,-1000.0,-919.43359375,-793.9453125,-919.43359375,0.0
1694476229.2215097,-767.08984375,-1000.0,-810.05859375,-1000.0,0.0
1694476229.225408,810.05859375,414.0625,-320.3125,442.87109375,0.0
1694476229.2293065,-973.14453125,-864.74609375,-169.921875,-830.078125,0.0
1694476229.2332046,-432.6171875,-236.81640625,-653.3203125,-169.921875,0.0
1694476229.237103,-1000.0,-1000.0,-890.13671875,-1000.0,0.0
1694476229.2410014,100.5859375,-137.20703125,-567.3828125,-147.94921875,0.0
1694476229.2449799,-772.94921875,-801.26953125,-177.24609375,-795.41015625,0.0
1694476229.2488782,99.609375,208.49609375,-466.30859375,225.5859375,0.0
1694476229.2527764,-1000.0,-1000.0,-889.6484375,-1000.0,0.0
1694476229.2566748,-250.48828125,-290.0390625,-672.8515625,-267.08984375,0.0
1694476229.2605731,-807.6171875,-814.94140625,-158.203125,-804.19921875,0.0
1694476229.2644713,241.69921875,333.0078125,-277.34375,354.00390625,0.0
1694476229.2683697,-1000.0,-1000.0,-834.47265625,-1000.0,0.0
1694476229.2722678,-443.359375,-656.25,-801.26953125,-637.6953125,0.0
1694476229.2761662,-888.671875,946.2890625,-295.8984375,972.16796875,0.0
1694476229.2800646,622.55859375,788.0859375,-219.23828125,837.40234375,0.0
1694476229.2839627,-982.421875,-753.90625,-756.8359375,-695.3125,0.0
1694476229.287861,-930.17578125,-1000.0,-876.46484375,-1000.0,0.0
1694476229.2918324,585.44921875,209.9609375,-442.3828125,208.49609375,0.0
1694476229.2957308,-854.00390625,-812.5,-117.67578125,-791.50390625,0.0
1694476229.2996292,-241.69921875,-85.9375,-550.78125,-44.43359375,0.0
1694476229.3035274,-1000.0,-1000.0,-898.92578125,-1000.0,0.0
1694476229.3074257,-23.92578125,-204.1015625,-602.5390625,-234.375,0.0
1694476229.3113241,-775.390625,-808.59375,-21.97265625,-812.01171875,0.0
1694476229.3152223,209.9609375,237.3046875,-253.41796875,240.234375,0.0
1694476229.3191206,-1000.0,-1000.0,-891.6015625,-1000.0,0.0
1694476229.323019,-268.06640625,-367.67578125,-726.07421875,-347.16796875,0.0
1694476229.3269172,-802.734375,-845.21484375,-154.78515625,-836.42578125,0.0
1694476229.3308156,321.77734375,438.4765625,-238.28125,477.5390625,0.0
1694476229.334714,-1000.0,-1000.0,-854.98046875,-1000.0,0.0
1694476229.3387187,-550.29296875,-792.48046875,-818.84765625,-781.73828125,0.0
1694476229.342617,-964.35546875,783.69140625,-273.4375,804.6875,0.0
1694476229.3465154,772.94921875,930.17578125,-157.2265625,980.46875,0.0
1694476229.3504138,-803.22265625,-573.73046875,-721.19140625,-508.30078125,0.0
1694476229.354312,-1000.0,-1000.0,-876.953125,-1000.0,0.0
1694476229.3582103,403.3203125,68.84765625,-415.52734375,84.47265625,0.0
1694476229.3621087,-812.5,-791.9921875,-81.54296875,-778.80859375,0.0
1694476229.3660069,-103.02734375,62.01171875,-551.26953125,88.37890625,0.0
1694476229.3699052,-1000.0,-1000.0,-904.78515625,-1000.0,0.0
1694476229.3738036,-193.359375,-244.62890625,-588.37890625,-248.046875,0.0
1694476229.3777018,-802.734375,-809.08203125,-121.09375,-808.10546875,0.0
1694476229.3816001,229.98046875,241.69921875,-382.32421875,241.69921875,0.0
1694476229.385597,-1000.0,-1000.0,-866.69921875,-1000.0,0.0
1694476229.3894954,-269.53125,-439.453125,-709.9609375,-438.96484375,0.0
1694476229.3933938,-807.6171875,-882.32421875,-223.6328125,-880.859375,0.0
1694476229.397292,428.22265625,543.45703125,-243.1640625,578.125,0.0
1694476229.4011903,-1000.0,-1000.0,-818.359375,-1000.0,0.0
1694476229.4050887,-659.66796875,-945.80078125,-828.125,-928.22265625,0.0
1694476229.408987,949.70703125,551.7578125,-328.61328125,582.03125,0.0
1694476229.4128852,905.2734375,-917.96875,-167.96875,-870.60546875,0.0
1694476229.4167836,-610.3515625,-345.703125,-649.4140625,-271.97265625,0.0
1694476229.420682,-1000.0,-1000.0,-859.375,-1000.0,0.0
1694476229.4245803,209.47265625,-46.875,-535.64453125,-43.45703125,0.0
1694476229.4284785,-778.80859375,-791.015625,-181.640625,-779.296875,0.0
1694476229.432479,25.390625,161.1328125,-487.79296875,213.37890625,0.0
1694476229.4363773,-1000.0,-1000.0,-875.9765625,-1000.0,0.0
1694476229.4402757,-242.67578125,-256.8359375,-665.52734375,-265.13671875,0.0
1694476229.4441738,-808.59375,-806.640625,-145.01953125,-802.734375,0.0
1694476229.4480722,239.2578125,278.80859375,-307.12890625,280.76171875,0.0
1694476229.4519706,-1000.0,-1000.0,-853.515625,-1000.0,0.0
1694476229.455869,-359.375,-550.29296875,-770.5078125,-542.48046875,0.0
1694476229.4597673,-845.21484375,-954.1015625,-258.30078125,-952.1484375,0.0
1694476229.4636655,535.15625,679.19921875,-141.6015625,721.19140625,0.0
1694476229.4675639,-1000.0,-872.55859375,-722.16796875,-844.7265625,0.0
1694476229.4714622,-814.94140625,-1000.0,-889.6484375,-1000.0,0.0
1694476229.4753606,745.1171875,331.54296875,-384.765625,352.05078125,0.0
1694476229.4793527,-935.05859375,-836.42578125,-74.70703125,-812.98828125,0.0
1694476229.483251,-377.9296875,-175.29296875,-601.5625,-129.39453125,0.0
1694476229.4871492,-1000.0,-1000.0,-916.50390625,-1000.0,0.0
1694476229.4910476,81.0546875,-148.4375,-531.25,-166.50390625,0.0
1694476229.494946,-769.04296875,-800.29296875,-73.73046875,-797.36328125,0.0
1694476229.4988444,156.73828125,215.8203125,-404.296875,227.5390625,0.0
1694476229.5027425,-1000.0,-1000.0,-903.80859375,-1000.0,0.0
1694476229.506641,-258.30078125,-306.15234375,-661.62109375,-268.5546875,0.0
1694476229.5105393,-804.19921875,-820.80078125,-51.26953125,-806.15234375,0.0
1694476229.5144377,241.2109375,366.69921875,-251.46484375,398.92578125,0.0
1694476229.518336,-1000.0,-1000.0,-862.3046875,-1000.0,0.0
1694476229.5222342,-467.28515625,-691.89453125,-791.50390625,-663.0859375,0.0
1694476229.5262196,-899.90234375,904.296875,-305.6640625,950.1953125,0.0
1694476229.530118,632.8125,835.9375,-242.67578125,875.48828125,0.0
1694476229.5340164,-980.95703125,-697.75390625,-766.6015625,-645.99609375,0.0
1694476229.5379148,-928.7109375,-1000.0,-856.4453125,-1000.0,0.0
1694476229.541813,577.63671875,181.640625,-437.01171875,180.17578125,0.0
